f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,label
0.0,0.0,0.0,-0.11922872,-0.04597092,-0.07799946,-0.2295918,-0.14502943,-0.12794475,-0.3285794,-0.2323289,-0.17101906,-0.42472023,-0.29891622,-0.21356162,-0.12715597,-0.46440104,-0.0704811,-0.18232667,-0.65352684,-0.11548451,-0.21259212,-0.7725945,-0.15485065,-0.23246199,-0.879373,-0.18573494,-0.04009367,-0.49771485,-0.07071832,-0.054856364,-0.7190591,-0.10556325,-0.058242157,-0.86274517,-0.13820629,-0.059925497,-0.9844171,-0.16532406,0.043040473,-0.4758677,-0.08111341,0.052655842,-0.6764377,-0.12022996,0.060761005,-0.8067399,-0.15013239,0.062854856,-0.9232623,-0.174236,0.12239733,-0.41554806,-0.09903027,0.17352833,-0.5468553,-0.13418117,0.20900309,-0.6318081,-0.15105605,0.23809156,-0.71313643,-0.16475946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.11773521,-0.04568715,-0.075365156,-0.22895949,-0.14707391,-0.12395357,-0.32737702,-0.23266426,-0.16581817,-0.42315042,-0.29573935,-0.20758161,-0.12406617,-0.46455637,-0.070958115,-0.1795395,-0.653903,-0.116453595,-0.20981188,-0.7744202,-0.15609412,-0.2293863,-0.8814519,-0.18720913,-0.037332356,-0.49711302,-0.07299494,-0.05280083,-0.71852636,-0.10757931,-0.056427207,-0.8623581,-0.14071876,-0.05841671,-0.9839687,-0.16850257,0.045417853,-0.47568417,-0.08481803,0.05145712,-0.6782488,-0.12420603,0.058593143,-0.80991656,-0.15552886,0.06081429,-0.92656946,-0.18108377,0.12376577,-0.41577572,-0.103846274,0.17270379,-0.54603195,-0.14081465,0.20844176,-0.63229126,-0.15937962,0.23832566,-0.71438247,-0.17436387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.120611966,-0.046358027,-0.0750906,-0.232512,-0.14745933,-0.12303257,-0.33024728,-0.23562773,-0.1645199,-0.42656335,-0.29981187,-0.20582877,-0.12200434,-0.47036916,-0.06818805,-0.1775682,-0.66017795,-0.11170064,-0.20766732,-0.77902967,-0.15040556,-0.22777948,-0.885721,-0.18121736,-0.03535465,-0.501966,-0.06924698,-0.051270716,-0.7230037,-0.10263343,-0.053596895,-0.8652706,-0.13463485,-0.053714093,-0.98536646,-0.1617644,0.04763961,-0.4792704,-0.080246985,0.052879572,-0.6812424,-0.11854992,0.060325388,-0.81036574,-0.14901419,0.06307123,-0.92561406,-0.17408502,0.12729612,-0.41919643,-0.09852164,0.17790994,-0.55051726,-0.13428615,0.21380517,-0.6362929,-0.1527249,0.2442189,-0.71942747,-0.16782449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.12160606,-0.04668187,-0.076052815,-0.23283824,-0.14788412,-0.12507126,-0.3295834,-0.23565365,-0.16751106,-0.42533803,-0.3004583,-0.2094188,-0.12307965,-0.46823278,-0.07091707,-0.17879076,-0.6589321,-0.116813235,-0.20895621,-0.7778619,-0.15627885,-0.22917488,-0.88482195,-0.18720393,-0.03748886,-0.4988126,-0.072297804,-0.053452477,-0.7205559,-0.10867399,-0.056081876,-0.8627334,-0.14189044,-0.05640053,-0.98395747,-0.16925307,0.044652913,-0.47603536,-0.083706796,0.04991613,-0.67697847,-0.124951236,0.058116905,-0.80548054,-0.15619211,0.061628,-0.9205094,-0.18091759,0.12431162,-0.4168124,-0.10236947,0.17460196,-0.5490916,-0.13977902,0.21113214,-0.6361224,-0.15868269,0.24185579,-0.7210582,-0.1736623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.11287772,-0.048993237,-0.07745684,-0.21956934,-0.15442833,-0.12696378,-0.31288266,-0.2429862,-0.16883886,-0.40938318,-0.30885264,-0.21065941,-0.114881806,-0.46938235,-0.075991124,-0.16653855,-0.6559901,-0.12305004,-0.19514522,-0.7731617,-0.16277805,-0.21706891,-0.87973297,-0.19392577,-0.028198943,-0.49795574,-0.07751936,-0.038637664,-0.7186143,-0.115218766,-0.038288657,-0.86132437,-0.14866742,-0.038150348,-0.9837548,-0.1754168,0.053341348,-0.47007623,-0.08876241,0.06262853,-0.6633346,-0.13251598,0.07267254,-0.7952228,-0.16508996,0.07697912,-0.9150613,-0.18999216,0.13151604,-0.4053369,-0.10688727,0.17861493,-0.5307,-0.14702536,0.21320827,-0.6135902,-0.1656425,0.24004786,-0.69615394,-0.17983946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.11641518,-0.04729294,-0.0754774,-0.22683112,-0.15293118,-0.1226116,-0.32176882,-0.24300106,-0.16333538,-0.41481787,-0.3059848,-0.20426165,-0.11619651,-0.46879527,-0.0713268,-0.17001957,-0.65885437,-0.11711345,-0.19824117,-0.7789566,-0.15692717,-0.21656199,-0.8879487,-0.18811361,-0.028215602,-0.49989372,-0.07289846,-0.035246782,-0.72283125,-0.106446736,-0.034065366,-0.8650117,-0.13824022,-0.033399537,-0.98572487,-0.16501808,0.054489616,-0.47584096,-0.08447626,0.06706535,-0.6708084,-0.1231226,0.07792132,-0.80120313,-0.15423909,0.08199178,-0.9186392,-0.17935045,0.13282399,-0.4124089,-0.103505425,0.18620221,-0.54097074,-0.13903871,0.22442503,-0.62442905,-0.15684634,0.25469524,-0.70474255,-0.17142713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.11581107,-0.05042428,-0.079234734,-0.22301608,-0.1567898,-0.12906907,-0.3196729,-0.24668157,-0.1717853,-0.41508555,-0.31126663,-0.21413238,-0.11918153,-0.4672279,-0.07173677,-0.1712249,-0.657396,-0.116722286,-0.19879697,-0.77672386,-0.15626548,-0.21764301,-0.88488007,-0.18745856,-0.031700313,-0.49721828,-0.07184966,-0.03610837,-0.7212667,-0.104765214,-0.03421645,-0.8640283,-0.13659973,-0.03276851,-0.98604655,-0.16321278,0.050411757,-0.4716742,-0.082234964,0.06211598,-0.6734649,-0.1201815,0.07277259,-0.80287176,-0.1504747,0.07700881,-0.9186743,-0.17491199,0.1278713,-0.40747303,-0.1003471,0.17842707,-0.53679514,-0.13547282,0.21500646,-0.61986053,-0.15231144,0.24403517,-0.6990698,-0.16598092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.1109126,-0.049039677,-0.080819264,-0.21768175,-0.15170918,-0.13221543,-0.31332564,-0.24039488,-0.17629577,-0.4063949,-0.30649993,-0.22034211,-0.1107071,-0.46645844,-0.07676302,-0.16239482,-0.6557702,-0.12351702,-0.19023965,-0.7741422,-0.16377044,-0.20877787,-0.88194704,-0.19558819,-0.023376925,-0.4959576,-0.076846465,-0.028576778,-0.7191724,-0.112832636,-0.027018765,-0.86075336,-0.14660172,-0.025877798,-0.984303,-0.17457914,0.058367845,-0.47082043,-0.08706435,0.07188699,-0.6692258,-0.12810972,0.08220597,-0.79877925,-0.16027635,0.086066514,-0.91644704,-0.18580419,0.13512011,-0.40698788,-0.10494219,0.18592069,-0.5353999,-0.14222977,0.2223869,-0.62013924,-0.16073987,0.25123146,-0.70199245,-0.17572008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.114925556,-0.04902145,-0.07850978,-0.22217071,-0.15195693,-0.12904586,-0.3151174,-0.24192576,-0.1726333,-0.40898475,-0.30880702,-0.21623941,-0.11369867,-0.47183952,-0.075240195,-0.16400763,-0.6625368,-0.122817665,-0.1892974,-0.7832285,-0.16387805,-0.20499495,-0.89220536,-0.19598822,-0.025734676,-0.5000612,-0.07689149,-0.031386543,-0.72182983,-0.11352683,-0.028556896,-0.8627538,-0.14791022,-0.025210747,-0.9840665,-0.17600465,0.057089556,-0.4727992,-0.08857419,0.07097766,-0.6714945,-0.13084413,0.082683414,-0.80148005,-0.16429223,0.08855154,-0.9184612,-0.19033746,0.13518803,-0.4059772,-0.10763837,0.18784586,-0.53507835,-0.14680311,0.22677071,-0.61790854,-0.16630039,0.25801367,-0.69670033,-0.18131356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
0.0,0.0,0.0,-0.11179169,-0.046318818,-0.07733539,-0.21896017,-0.14874858,-0.12688363,-0.31032217,-0.23728815,-0.16961373,-0.4018574,-0.3025869,-0.21241868,-0.10956992,-0.47047725,-0.07482808,-0.15750726,-0.6607291,-0.12072652,-0.18281999,-0.7791652,-0.16047691,-0.19915622,-0.88630927,-0.19187701,-0.02028372,-0.49733183,-0.07678328,-0.02453671,-0.7194417,-0.112158515,-0.021515254,-0.861674,-0.14623328,-0.018764257,-0.98447925,-0.17449476,0.06317591,-0.46925476,-0.088560864,0.0780212,-0.6671567,-0.13043909,0.08874184,-0.79700106,-0.164576,0.0932646,-0.915628,-0.19124795,0.14118932,-0.40210545,-0.10747699,0.1955393,-0.5318404,-0.14643672,0.23436086,-0.6164731,-0.16663451,0.26555064,-0.69866216,-0.18243544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hello
